User Query,Attribute Path,Path Length
What direction should I go with my business?,[],0
What are some possible career paths for an extreme introvert with a degree in English and Communication?,[],0
What should I do if I want to get my life back and start a career?,[],0
How should I approach the situation regarding my salary increase and potential promotion at my current company?,[],0
How do I best navigate the transition into software engineering?,[],0
How do I decide on a main career path?,[],0
How do I decide if I should stay with my current company or look elsewhere/go back to school/etc.?,[],0
What should I do if I don't have a plan or vision for what career to pursue?,['Profession'],1
Is a certificate good enough for surgery tech or should I dedicate to the AAS? Does anyone have experience going from stay at home mom to career driven?,['Profession'],1
What certificates or what kind of education can I go for that will have a payoff to it?,[],0
"Should I slog it out for 3 years to attempt to increase the chance of myself getting into my dream job, or should I opt for better work-life balance but risk not getting my dream job?",[],0
What should I do career-wise if I have no idea what I want to do?,['Profession'],1
Should I quit my job in my field and passion to pursue something with higher pay and hopes of eventually returning to my field of passion?,[],0
Is a long commute worth the better lifestyle?,[],0
Are there any jobs that are the same as special needs support but that bring in more money?,[],0
What career paths (that wouldn't require another ten years in school) have good salary potential these days?,[],0
"Do I actually hate my job, or does everybody feel this way?",[],0
"Would an internship be fruitful for me to try and acquire at this time, and would anyone even take me?",['Profession'],1
What should I study to become a functional junior developer in 1 year?,[],0
"How can I help my wife find a full-time CT Tech or X-Ray Tech job at a medical clinic with normal, weekday hours and benefits?",[],0
Are there any careers at the intersection of Creative Marketing and Data Science?,[],0
"What career or life advice can you offer to help me find stability and possibly a new career, considering my interests in natural health, animals, and art?",[],0
"Should I keep working full time while going to school part time despite worsening my depression, or take out personal loans and work less to focus on my education?",[],0
"Should I keep working full time while going to school part time and risk worsening burnout and depression, or should I take out personal loans on top of my graduate school loans to focus on completing my program?",[],0
Are there any courses I can take to give me further qualification in video editing (that aren’t degrees)?,[],0
Can someone either reassure me I should stay or pour some cold water on my face and tell me I've needed to go for a while? What should I do?,['Emotional State'],1
What is the best job or thing to do for me right now as an 18 year old student?,['Profession'],1
What are my options for transitioning to a career in management or starting a business given my background?,[],0
Should I shift my career from Software Developer to Sales Executive?,[],0
What industry might be good to look into for someone with my background?,[],0
Does anyone have a perspective on INFOSEC/Cybersecurity or Financial Planning as career options?,[],0
Should I pursue a career in cosmetology that interests me or go into the medical field for better financial stability?,[],0
What career options are available for someone looking to switch from a toxic sales job?,[],0
"Would it be best to try to stick things out and keep this position at the risk of hurting my numbers/possibly being let go for a drop in performance, or should I cut and run, get help, and keep my recent positive streak for a future resume?",[],0
How can I navigate my current job situation mentally and professionally?,[],0
"What would be a good career path for me to avoid being stuck in a non-GIS role, considering my current tech support job and our family plans?",[],0
Any recommendations where I can point him in a direction he should take in this situation?,[],0
Where can I find work-from-home jobs that are flexible with my work hours for supplemental income?,[],0
What kind of jobs are there that lend themselves to the skill set found in good recruiters?,[],0
What career advice and help can you offer for someone trying to get out of the service industry?,[],0
What kind of jobs would incorporate my love of traveling?,[],0
What should my next step be in my career as I feel stagnant in Luxury Car Sales?,[],0
How can I discuss the situation with my boss without sounding self-centered?,[],0
Should I quit the only job I've found over the last 12 months of searching?,[],0
Do I need more patience to get ahead or should I quit?,[],0
"What career path can I pursue that is competitive, involves adrenaline, and allows me to be part of a real team?",[],0
How do I make the switch to pursuing a career in dog grooming while managing my financial stability and current job responsibilities?,[],0
"How do I know what path to choose, and what kind of options are available to me with the skills and experience I have?",[],0
"Am I potentially getting myself in trouble with this job offer, or is it just a case of Imposter Syndrome?",[],0
What are some ways to obtain letters of recommendation for a MS/PhD application when I have no academic connections?,[],0
Am I crazy to pursue a bachelor's degree and a career in psychology over the age of 50?,[],0
Should I go back home to the UK to look for remote work in Cloudsoft technology?,[],0
Would it be crazy to scale back our life so that I could transition to a different field (i.e. Accounting)?,[],0
Should I quit teaching after only 1 year to focus on my Master's degree?,[],0
Should I quit teaching and focus on my Master's degree or stick it out and try to do both?,[],0
"What is my safest option and fastest route to earning 45-50k between electro mechanical maintenance and web design and development, and is either plan smart?",['Profession'],1
How can I be confident in choosing a career to pursue?,[],0
Am I an idiot for thinking about pursuing a career in film?,['Profession'],1
What practical and decent paying jobs are available for my 56-year-old college-educated dad who can no longer work in graphic design?,[],0
How would I go about starting my own electrical company after finishing my apprenticeship?,[],0
"What jobs should I be looking for with my diploma in Chemical Engineering Technology, and is it worth going back to university for a BSc in Chemical Engineering?",[],0
Has anyone successfully transitioned careers and how did you move from this 'status quo'?,[],0
"How can I choose a path in grad medicine, counselling psychology, or computer science?",[],0
What career can I do with a MH Nursing degree outside of health care?,[],0
Can anyone offer advice to someone in a career/life rut?,[],0
What can I do to find a job given my education and lack of experience?,[],0
What should be my career?,[],0
"Is it even possible, or worth it for me to try going back to school? Has anyone else gotten a degree later in life? Is this feasible or should I be looking in a different direction?",[],0
